16:13:41.290 INFO  manager.ApplicationManager - All tests run in Chrome browser
16:13:42.038 INFO  manager.ApplicationManager - The link----->https://telranedu.web.app/home
16:13:42.168 INFO  tests.TestBase - Name of method----->removeAllContacts
16:13:42.183 INFO  manager.ListenerWD - before find element: By.xpath: //*[text()='Sign Out']
16:13:47.259 INFO  manager.ListenerWD - element found success: By.xpath: //*[text()='Sign Out']
16:13:47.262 INFO  manager.ListenerWD - before find element: By.xpath: //a[text()='LOGIN']
16:13:47.301 INFO  manager.ListenerWD - element found success: By.xpath: //a[text()='LOGIN']
16:13:47.315 INFO  manager.ListenerWD - start method click on:[[ChromeDriver: chrome on WINDOWS (879e5bd873d8c2abb0ae78b12b3f9c47)] -> xpath: //a[text()='LOGIN']]
16:13:47.403 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (879e5bd873d8c2abb0ae78b12b3f9c47)] -> xpath: //a[text()='LOGIN']]
16:13:47.403 INFO  manager.ListenerWD - before find element: By.cssSelector: input[placeholder='Email']
16:13:47.433 INFO  manager.ListenerWD - element found success: By.cssSelector: input[placeholder='Email']
16:13:47.433 INFO  manager.ListenerWD - start method click on:[[ChromeDriver: chrome on WINDOWS (879e5bd873d8c2abb0ae78b12b3f9c47)] -> css selector: input[placeholder='Email']]
16:13:47.515 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (879e5bd873d8c2abb0ae78b12b3f9c47)] -> css selector: input[placeholder='Email']]
16:13:47.737 INFO  manager.ListenerWD - before find element: By.xpath: //input[@placeholder='Password']
16:13:47.765 INFO  manager.ListenerWD - element found success: By.xpath: //input[@placeholder='Password']
16:13:47.766 INFO  manager.ListenerWD - start method click on:[[ChromeDriver: chrome on WINDOWS (879e5bd873d8c2abb0ae78b12b3f9c47)] -> xpath: //input[@placeholder='Password']]
16:13:47.819 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (879e5bd873d8c2abb0ae78b12b3f9c47)] -> xpath: //input[@placeholder='Password']]
16:13:47.972 INFO  manager.ListenerWD - before find element: By.xpath: //button[text()='Login']
16:13:47.996 INFO  manager.ListenerWD - element found success: By.xpath: //button[text()='Login']
16:13:47.997 INFO  manager.ListenerWD - start method click on:[[ChromeDriver: chrome on WINDOWS (879e5bd873d8c2abb0ae78b12b3f9c47)] -> xpath: //button[text()='Login']]
16:13:48.059 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (879e5bd873d8c2abb0ae78b12b3f9c47)] -> xpath: //button[text()='Login']]
16:13:48.059 INFO  tests.TestBase - before method need log in
16:13:48.060 INFO  manager.ListenerWD - before find element: By.cssSelector: .contact-item_card__2SOIM
16:13:49.386 INFO  manager.ListenerWD - element found success: By.cssSelector: .contact-item_card__2SOIM
16:13:49.390 INFO  manager.ListenerWD - before find element: By.cssSelector: .contact-item_card__2SOIM
16:13:49.410 INFO  manager.ListenerWD - element found success: By.cssSelector: .contact-item_card__2SOIM
16:13:49.412 INFO  manager.ListenerWD - before find element: By.cssSelector: .contact-item_card__2SOIM
16:13:49.443 INFO  manager.ListenerWD - element found success: By.cssSelector: .contact-item_card__2SOIM
16:13:49.444 INFO  manager.ListenerWD - start method click on:[[ChromeDriver: chrome on WINDOWS (879e5bd873d8c2abb0ae78b12b3f9c47)] -> css selector: .contact-item_card__2SOIM]
16:13:49.519 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (879e5bd873d8c2abb0ae78b12b3f9c47)] -> css selector: .contact-item_card__2SOIM]
16:13:49.519 INFO  manager.ListenerWD - before find element: By.xpath: //button[text()='Remove']
16:13:49.557 INFO  manager.ListenerWD - element found success: By.xpath: //button[text()='Remove']
16:13:49.558 INFO  manager.ListenerWD - start method click on:[[ChromeDriver: chrome on WINDOWS (879e5bd873d8c2abb0ae78b12b3f9c47)] -> xpath: //button[text()='Remove']]
16:13:49.610 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (879e5bd873d8c2abb0ae78b12b3f9c47)] -> xpath: //button[text()='Remove']]
16:13:50.621 INFO  manager.ListenerWD - before find element: By.cssSelector: .contact-item_card__2SOIM
