16:14:25.238 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (ef45e9ca273f474d093ba107b3b363c1)] -> css selector: [placeholder='description']]
16:14:25.578 INFO  manager.ListenerWD - before find element: By.cssSelector: .add_form__2rsm2>button
16:14:25.621 INFO  manager.ListenerWD - element found success: By.cssSelector: .add_form__2rsm2>button
16:14:25.621 INFO  manager.ListenerWD - start method click on:[[ChromeDriver: chrome on WINDOWS (ef45e9ca273f474d093ba107b3b363c1)] -> css selector: .add_form__2rsm2>button]
16:14:25.716 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (ef45e9ca273f474d093ba107b3b363c1)] -> css selector: .add_form__2rsm2>button]
16:14:26.221 INFO  manager.ListenerWD - before find element: By.cssSelector: a[href='/add']
16:14:26.246 INFO  manager.ListenerWD - element found success: By.cssSelector: a[href='/add']
16:14:26.247 INFO  manager.ListenerWD - start method click on:[[ChromeDriver: chrome on WINDOWS (ef45e9ca273f474d093ba107b3b363c1)] -> css selector: a[href='/add']]
16:14:26.309 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (ef45e9ca273f474d093ba107b3b363c1)] -> css selector: a[href='/add']]
16:14:26.314 INFO  manager.ListenerWD - before find element: By.cssSelector: [placeholder='Name']
16:14:26.336 INFO  manager.ListenerWD - element found success: By.cssSelector: [placeholder='Name']
16:14:26.337 INFO  manager.ListenerWD - start method click on:[[ChromeDriver: chrome on WINDOWS (ef45e9ca273f474d093ba107b3b363c1)] -> css selector: [placeholder='Name']]
16:14:26.383 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (ef45e9ca273f474d093ba107b3b363c1)] -> css selector: [placeholder='Name']]
16:14:26.532 INFO  manager.ListenerWD - before find element: By.cssSelector: [placeholder='Last Name']
16:14:26.546 INFO  manager.ListenerWD - element found success: By.cssSelector: [placeholder='Last Name']
16:14:26.547 INFO  manager.ListenerWD - start method click on:[[ChromeDriver: chrome on WINDOWS (ef45e9ca273f474d093ba107b3b363c1)] -> css selector: [placeholder='Last Name']]
16:14:26.588 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (ef45e9ca273f474d093ba107b3b363c1)] -> css selector: [placeholder='Last Name']]
16:14:26.730 INFO  manager.ListenerWD - before find element: By.cssSelector: [placeholder='Phone']
16:14:26.750 INFO  manager.ListenerWD - element found success: By.cssSelector: [placeholder='Phone']
16:14:26.752 INFO  manager.ListenerWD - start method click on:[[ChromeDriver: chrome on WINDOWS (ef45e9ca273f474d093ba107b3b363c1)] -> css selector: [placeholder='Phone']]
16:14:26.797 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (ef45e9ca273f474d093ba107b3b363c1)] -> css selector: [placeholder='Phone']]
16:14:26.959 INFO  manager.ListenerWD - before find element: By.cssSelector: [placeholder='email']
16:14:26.972 INFO  manager.ListenerWD - element found success: By.cssSelector: [placeholder='email']
16:14:26.972 INFO  manager.ListenerWD - start method click on:[[ChromeDriver: chrome on WINDOWS (ef45e9ca273f474d093ba107b3b363c1)] -> css selector: [placeholder='email']]
16:14:27.015 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (ef45e9ca273f474d093ba107b3b363c1)] -> css selector: [placeholder='email']]
16:14:27.192 INFO  manager.ListenerWD - before find element: By.cssSelector: [placeholder='Address']
16:14:27.206 INFO  manager.ListenerWD - element found success: By.cssSelector: [placeholder='Address']
16:14:27.207 INFO  manager.ListenerWD - start method click on:[[ChromeDriver: chrome on WINDOWS (ef45e9ca273f474d093ba107b3b363c1)] -> css selector: [placeholder='Address']]
16:14:27.250 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (ef45e9ca273f474d093ba107b3b363c1)] -> css selector: [placeholder='Address']]
16:14:27.409 INFO  manager.ListenerWD - before find element: By.cssSelector: [placeholder='description']
16:14:27.428 INFO  manager.ListenerWD - element found success: By.cssSelector: [placeholder='description']
16:14:27.429 INFO  manager.ListenerWD - start method click on:[[ChromeDriver: chrome on WINDOWS (ef45e9ca273f474d093ba107b3b363c1)] -> css selector: [placeholder='description']]
16:14:27.472 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (ef45e9ca273f474d093ba107b3b363c1)] -> css selector: [placeholder='description']]
16:14:27.642 INFO  manager.ListenerWD - before find element: By.cssSelector: .add_form__2rsm2>button
16:14:27.667 INFO  manager.ListenerWD - element found success: By.cssSelector: .add_form__2rsm2>button
16:14:27.667 INFO  manager.ListenerWD - start method click on:[[ChromeDriver: chrome on WINDOWS (ef45e9ca273f474d093ba107b3b363c1)] -> css selector: .add_form__2rsm2>button]
16:14:27.703 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (ef45e9ca273f474d093ba107b3b363c1)] -> css selector: .add_form__2rsm2>button]
16:14:28.204 INFO  manager.ListenerWD - before find element: By.cssSelector: a[href='/add']
16:14:28.249 INFO  manager.ListenerWD - element found success: By.cssSelector: a[href='/add']
16:14:28.251 INFO  manager.ListenerWD - start method click on:[[ChromeDriver: chrome on WINDOWS (ef45e9ca273f474d093ba107b3b363c1)] -> css selector: a[href='/add']]
16:14:28.335 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (ef45e9ca273f474d093ba107b3b363c1)] -> css selector: a[href='/add']]
16:14:28.336 INFO  manager.ListenerWD - before find element: By.cssSelector: [placeholder='Name']
16:14:28.354 INFO  manager.ListenerWD - element found success: By.cssSelector: [placeholder='Name']
16:14:28.355 INFO  manager.ListenerWD - start method click on:[[ChromeDriver: chrome on WINDOWS (ef45e9ca273f474d093ba107b3b363c1)] -> css selector: [placeholder='Name']]
16:14:28.400 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (ef45e9ca273f474d093ba107b3b363c1)] -> css selector: [placeholder='Name']]
16:14:28.549 INFO  manager.ListenerWD - before find element: By.cssSelector: [placeholder='Last Name']
16:14:28.562 INFO  manager.ListenerWD - element found success: By.cssSelector: [placeholder='Last Name']
16:14:28.563 INFO  manager.ListenerWD - start method click on:[[ChromeDriver: chrome on WINDOWS (ef45e9ca273f474d093ba107b3b363c1)] -> css selector: [placeholder='Last Name']]
16:14:28.603 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (ef45e9ca273f474d093ba107b3b363c1)] -> css selector: [placeholder='Last Name']]
16:14:28.803 INFO  manager.ListenerWD - before find element: By.cssSelector: [placeholder='Phone']
16:14:28.818 INFO  manager.ListenerWD - element found success: By.cssSelector: [placeholder='Phone']
16:14:28.818 INFO  manager.ListenerWD - start method click on:[[ChromeDriver: chrome on WINDOWS (ef45e9ca273f474d093ba107b3b363c1)] -> css selector: [placeholder='Phone']]
